"Name";"Leads";"Revenue"
"Voltex Heated Scarf - US - Mobile - 241129_02 - MR (buyheatedscarf.com)";"0";"0.00 $"
"BlissHeatV2 - US - Mobile - 241129_01 - MR (blissheat.co)";"0";"0.00 $"
"Voltex Heated Scarf - Rumble - US - CatchAll (buyheatedscarf.com)";"0";"0.00 $"
"BlissHeatV2 - Rumble - US - CatchAll (blissheat.co)";"0";"0.00 $"
"HeatVortex - US - Angle5 - Desktop - 241116_01 - MR (heatvortex.com)";"0";"0.00 $"
"HeatVortex - US - Angle5 - Mobile - 241116_02 - MR (heatvortex.com)";"0";"0.00 $"
"HeatVortex - US - Angle1b - Mobile - 241108_04 - MR (heatvortex.com)";"0";"0.00 $"
"HeatVortex - US - Angle1b - Desktop - 241108_03 - MR (heatvortex.com)";"0";"0.00 $"
"Vital Health Ring - US - Angle2 - Mobile - 241101_02 - MR (vitalhealthring.co)";"0";"0.00 $"
"Vital Health Ring - US - Angle2 - Desktop - 241101_01 - MR (vitalhealthring.co)";"0";"0.00 $"
"Voltex Heated Vest - US - Mobile - 241025_09 - MR (buyheatedvest.com)";"0";"0.00 $"
"Voltex Heated Vest - US - Desktop - 241025_08 - MR (buyheatedvest.com)";"0";"0.00 $"
"H2Next - US - Angle1 - Mobile - 241025_07 - MR (buyh2next.com)";"0";"0.00 $"
"H2Next - US - Angle1 - Desktop - 241025_06 - MR (buyh2next.com)";"0";"0.00 $"
"HeatVortex - US - Angle3 - Desktop - 241025_04 - MR (heatvortex.com)";"0";"0.00 $"
"HeatVortex - US - Angle3 - Mobile - 241025_05 - MR (heatvortex.com)";"0";"0.00 $"
"H2Next - Rumble - US - CatchAll (buyh2next.com)";"0";"0.00 $"
"Voltex Heated Vest - Rumble - US - CatchAll (buyheatedvest.com)";"0";"0.00 $"
"Vital Health Ring - US - Angle1 - Desktop - 241023_12 - MR (vitalhealthring.co)";"0";"0.00 $"
"Vital Health Ring - US - Angle1 - Mobile - 241023_13 - MR (vitalhealthring.co)";"0";"0.00 $"
"Vital Health Ring - Rumble - US - CatchAll (vitalhealthring.co)";"0";"0.00 $"
"HeatVortex - US - Angle4 - Mobile - 241023_11 - MR (heatvortex.com)";"0";"0.00 $"
"HeatVortex - US - Angle4 - Desktop - 241023_10 - MR (heatvortex.com)";"0";"0.00 $"
"HeatVortex - Rumble - US - CatchAll (heatvortex.com)";"0";"0.00 $"
"Grounded Footwear - US - Angle4b - Mobile - 241023_09 - MR (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - US - Angle4b - Desktop - 241023_08 - MR (buybarefootshoes.co)";"0";"0.00 $"
"Herz P1 Smart Ring - US - Mobile - 241022_02 - MR (buysmartring.co)";"0";"0.00 $"
"Herz P1 Smart Ring - US - Desktop - 241022_01 - MR (buysmartring.co)";"0";"0.00 $"
"Herz P1 Smart Ring - Rumble - US - CatchAll";"0";"0.00 $"
"VitalTac - US - Mobile - 241021_19 - MR (buytacticalflashlight.com)";"0";"0.00 $"
"VitalTac - US - Desktop - 241021_18 - MR (buytacticalflashlight.com)";"0";"0.00 $"
"VitalTac - US - Mobile - 241021_17 - PR (buytacticalflashlight.com)";"0";"0.00 $"
"VitalTac - US - Desktop - 241021_16 - PR (buytacticalflashlight.com)";"0";"0.00 $"
"StealthBird - US - Mobile - 241021_15 - MR (buy4kdrone.com)";"0";"0.00 $"
"StealthBird - US - Desktop - 241021_14 - MR (buy4kdrone.com)";"0";"0.00 $"
"StealthBird - US - Mobile - 241021_13 - PR (buy4kdrone.com)";"0";"0.00 $"
"StealthBird - US - Desktop - 241021_12 - PR (buy4kdrone.com)";"0";"0.00 $"
"Fuel Save Pro - US - Mobile - 241021_11 - MR (buyfuelsaver.com)";"0";"0.00 $"
"Fuel Save Pro - US - Desktop - 241021_10 - MR (buyfuelsaver.com)";"0";"0.00 $"
"Fuel Save Pro - US - Mobile - 241021_09 - PR (buyfuelsaver.com)";"0";"0.00 $"
"Fuel Save Pro - US - Desktop - 241021_08 - PR (buyfuelsaver.com)";"0";"0.00 $"
"BlissHeat - US - Mobile - 241021_07 - MR - Angle1 (blissheatofficial.com)";"0";"0.00 $"
"BlissHeat - US - Desktop - 241021_06 - MR - Angle1 (blissheatofficial.com)";"0";"0.00 $"
"BlissHeat - US - Mobile - 241021_05 - PR - Angle1 (blissheatofficial.com)";"0";"0.00 $"
"BlissHeat - US - Desktop - 241021_04 - PR - Angle1 (blissheatofficial.com)";"0";"0.00 $"
"VitalTac - Rumble - US - CatchAll (buytacticalflashlight.com)";"0";"0.00 $"
"StealthBird - Rumble - US - CatchAll (buy4kdrone.com)";"0";"0.00 $"
"Fuel Save Pro - Rumble - US - CatchAll (buyfuelsaver.com)";"0";"0.00 $"
"BlissHeat - Rumble - US - CatchAll (blissheatofficial.com)";"0";"0.00 $"
"LifeWater Bottle - US - Mobile - 241019_04 (buyhydrogenwaterbottle.com)";"0";"0.00 $"
"LifeWater Bottle - US - Desktop - 241019_03 (buyhydrogenwaterbottle.com)";"0";"0.00 $"
"LifeWater Bottle - Rumble - US - CatchAll (buyhydrogenwaterbottle.com)";"0";"0.00 $"
"Grounded Footwear - US - Angle5 - Desktop - 241016_01 (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - US - Angle5 - Mobile - 241016_02 (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - Rumble v2 - US - CatchAll (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - US - Mobile - 240924_08 - Mid-Roll (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - US - Desktop - 240918_05 (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - US - Mobile - 240918_06 (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - CA - Mobile - 240918_04 (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - CA - Desktop - 240918_03 (buybarefootshoes.co)";"0";"0.00 $"
"Grounded Footwear - Rumble - CA - CatchAll (buybarefootshoes.co)";"0";"0.00 $"
