"","ID","Name","Status","CPM","Impressions","Clicks","CTR","Used / Daily Limit","Lifetime Spend / Limit","Ad Type","Conv. Count","Conv. Earnings","Actions"
"","21464","Logic Media May 8th Video Test","Paused","0","285K","3K","1.0542","0.000","$2,279.61 / Unlimited","Pre-roll","56","$2,520.00",""
"","21109","BrightGuard360 - All Devices & Hours - US - 240430_02","Paused","10.500","78.1K","1.4K","1.8081","0.000","$778.77 / Unlimited","Pre-roll","7","$407.69",""
"","21108","BuzzDefense Portable - US - Desktop - 240430_01","Paused","10.500","678.9K","21.4K","3.1593","0.000","$6,835.57 / Unlimited","Pre-roll","298","$13,856.07",""
"","20970","LifeHammer - US - Desktop - 240429_10","Paused","10.500","119.1K","3.4K","2.8416","0.000","$1,210.56 / Unlimited","Pre-roll","17","$680.00",""
"","20310","BrightGuard360 - Desktop - US - 240419_04","Paused","10.500","1.7M","51.4K","2.9917","0.000","$16,782.54 / Unlimited","Pre-roll","356","$21,006.33",""
"","20309","SmartStickPro - Desktop - US - 240419_03","Paused","10.500","664.1K","18.8K","2.8292","0.000","$6,778.27 / Unlimited","Pre-roll","145","$7,506.10",""
"","20272","MoonBeamUltra - Desktop - US - 240419_02","Paused","10.500","538.6K","16.2K","2.9986","0.000","$5,529.34 / Unlimited","Pre-roll","81","$4,398.45",""
"","20264","BuzzBugg - Desktop - US - 240419_01","Paused","10.500","856.2K","24.7K","2.8859","0.000","$8,835.04 / Unlimited","Pre-roll","207","$11,385.00",""
"","19356","VitalTac - US - All Devices (BL) - 240412_02","Paused","15.000","157.8K","2K","1.2854","0.000","$1,360.76 / Unlimited","Pre-roll","15","$735.00",""
"","19355","Stealth Bird - US - Desktop (BL) - 240412_01","Paused","15.000","76.7K","2.1K","2.6795","0.000","$1,019.66 / Unlimited","Pre-roll","6","$570.00",""
"","19275","FireBlaze - Desktop - US - 240411_02","Paused","10.500","299.6K","8.6K","2.8653","0.000","$3,059.14 / Unlimited","Pre-roll","71","$3,408.00",""
"","18880","BuzzKrush - CA - Desktop - 240405_02","Paused","10.500","0","0","0","0.000","$0.00 / Unlimited","Pre-roll","0","$0.00",""
"","18879","BuzzKrush - US - Desktop - 240405_01","Paused","10.500","18.2K","544","2.9907","0.000","$187.26 / Unlimited","Pre-roll","13","$715.00",""
"","18751","BuzzBash Portable - US - Desktop - 240404_02","Paused","10.500","277.1K","10.4K","3.7659","0.000","$2,834.90 / Unlimited","Pre-roll","179","$8,353.22",""
"","17754","VitalTac - CA - iOS - 240319_18","Paused","5.000","156.7K","340","0.217","0.000","$504.57 / Unlimited","Pre-roll","9","$441.00",""
"","17753","VitalTac - CA - Android - 240319_17","Paused","5.000","86.7K","201","0.2318","0.000","$270.03 / Unlimited","Pre-roll","2","$98.00",""
"","17752","VitalTac - CA - Desktop - 240319_16","Paused","10.500","201.7K","5.3K","2.6447","0.000","$1,659.91 / Unlimited","Pre-roll","32","$1,568.00",""
"","17747","OrthoSparkle - iOS - US - 240319_09","Paused","5.000","30.2K","94","0.3111","0.000","$145.24 / Unlimited","Pre-roll","2","$160.00",""
"","17746","OrthoSparkle - Desktop - US - 240319_08","Paused","10.500","46.2K","1.1K","2.3183","0.000","$480.59 / Unlimited","Pre-roll","4","$320.00",""
"","17745","Konpresio - Android - US - 240319_07","Paused","5.000","41.6K","80","0.1923","0.000","$201.59 / Unlimited","Pre-roll","3","$78.00",""
"","17744","Konpresio - Desktop - US - 240319_06","Paused","10.500","30.9K","723","2.3387","0.000","$322.10 / Unlimited","Pre-roll","6","$156.00",""
"","17743","Adjustable Glasses - Android - US - 240319_05","Paused","5.000","57.9K","116","0.2004","0.000","$281.93 / Unlimited","Pre-roll","5","$200.00",""
"","17742","Adjustable Glasses - Desktop - US - 240319_04","Paused","10.500","106.1K","2.6K","2.4658","0.000","$1,103.68 / Unlimited","Pre-roll","28","$1,120.00",""
"","17741","Plunge Blaster - Desktop - US - 240319_03","Paused","10.500","193.1K","4.6K","2.3782","0.000","$1,994.12 / Unlimited","Pre-roll","42","$1,890.00",""
"","17740","Fuel Save Pro - CA - Desktop - 240319_02","Paused","10.500","161.1K","4.1K","2.5567","0.000","$1,411.31 / Unlimited","Pre-roll","17","$1,054.00",""
"","17737","Fuel Save Pro - US - Desktop - 240319_01","Paused","10.500","116.7K","3.2K","2.7088","0.000","$1,212.50 / Unlimited","Pre-roll","18","$1,116.00",""
"","17630","VitalTac - US - iOS - 240315_02","Paused","6.000","413.3K","1.7K","0.4149","0.000","$2,196.34 / Unlimited","Pre-roll","71","$3,479.00",""
"","17629","VitalTac - US - Android - 240315_01","Paused","6.500","585.7K","2K","0.3483","0.000","$3,018.44 / Unlimited","Pre-roll","103","$5,047.00",""
"","17466","G-Plan Ozempic - Display 822x175 Android - US - 240313_04","Paused","3.000","18.5K","51","0.2755","0.000","$30.55 / Unlimited","822x175","0","$0.00",""
"","17465","G-Plan Ozempic - Display 822x175 Desktop - US - 240313_03","Paused","3.000","97.6K","163","0.1671","0.000","$161.00 / Unlimited","822x175","0","$0.00",""
"","17462","G-Plan Ozempic - Display 300x250 Android - US - 240313_02","Paused","3.000","19.5K","55","0.2823","0.000","$50.15 / Unlimited","300x250","0","$0.00",""
"","17461","G-Plan Ozempic - Display 300x250 Desktop - US - 240313_01","Paused","3.000","21.6K","12","0.0555","0.000","$50.22 / Unlimited","300x250","0","$0.00",""
"","17376","AirPhysio - Display 300x250 - US - 240312_01","Paused","3.500","207.1K","1.2K","0.591","0.000","$604.59 / Unlimited","300x250","3","$126.00",""
"","17317","VitalTac - US - Desktop - 240311_01","Paused","10.500","4M","126.2K","3.1837","0.000","$39,052.12 / Unlimited","Pre-roll","1,326","$64,974.00",""
"","16825","BatDefense - Display 822x175 - US - 240229_04","Paused","4.000","0","0","0","0.000","$0.00 / Unlimited","822x175","0","$0.00",""
"","16823","BatDefense - Display 300x250 - US - 240229_03","Paused","5.000","0","0","0","0.000","$0.00 / Unlimited","300x250","0","$0.00",""
"","16822","Konpresio - Display 822x175 - US - 240229_02","Paused","4.000","13.9K","27","0.1942","0.000","$53.57 / Unlimited","822x175","0","$0.00",""
"","16821","Konpresio - Display 300x250 - US - 240229_01","Paused","5.000","11.5K","67","0.5832","0.000","$56.36 / Unlimited","300x250","0","$0.00",""
"","16722","RecovStick - iOS - US - 240227_02","Paused","5.500","370K","2K","0.5289","0.000","$1,569.83 / Unlimited","Pre-roll","47","$2,444.00",""
"","16720","OrthoSparkle - iOS - US - 240227_01","Paused","4.000","230.1K","867","0.3768","0.000","$830.89 / Unlimited","Pre-roll","23","$1,840.00",""
"","16702","OrthoSparkle - Display 300x250 - US - 240226_06","Paused","5.000","41.3K","190","0.4601","0.000","$211.05 / Unlimited","300x250","0","$0.00",""
"","16701","OrthoSparkle - Display 822x175 - US - 240226_07","Paused","4.000","155.7K","375","0.2409","0.000","$507.31 / Unlimited","822x175","1","$80.00",""
"","16700","OrthoSparkle - Display 420x315 - US - 240226_08","Paused","10.000","7.6K","23","0.3015","0.000","$56.09 / Unlimited","420x315","0","$0.00",""
"","16690","Adjustable Glasses - Display 420x315 - US - 240226_05","Paused","10.000","5.9K","30","0.5074","0.000","$44.50 / Unlimited","420x315","0","$0.00",""
"","16689","Adjustable Glasses - Display 822x175 - US - 240226_04","Paused","4.000","503.6K","1.1K","0.2085","0.000","$1,473.83 / Unlimited","822x175","7","$280.00",""
"","16688","Adjustable Glasses - Display 300x250 - US - 240226_03","Paused","5.000","83.7K","422","0.5042","0.000","$417.51 / Unlimited","300x250","1","$40.00",""
"","16685","Konpresio - iOS - US - 240226_02","Paused","4.000","206.7K","736","0.3562","0.000","$725.67 / Unlimited","Pre-roll","31","$806.00",""
"","16684","Adjustable Glasses - iOS - US - 240226_01","Paused","5.000","690.2K","5.1K","0.7336","0.000","$2,739.75 / Unlimited","Pre-roll","99","$3,960.00",""
"","16437","Pest Defense - Desktop - US - 240221_03","Paused","10.500","402.4K","12.1K","3.0063","0.000","$4,189.20 / Unlimited","Pre-roll","129","$5,805.00",""
"","16233","Voltex Heated Vest - Desktop - US - 240216_08","Paused","10.500","93.9K","2.4K","2.5674","0.000","$974.17 / Unlimited","Pre-roll","0","$0.00",""
"","16102","TimberTech - Desktop - US - 240213_02","Paused","9.500","529.1K","15.3K","2.8959","0.000","$5,272.82 / Unlimited","Pre-roll","51","$4,080.00",""
"","16101","SafeHammer - Desktop - Global nonUSA - 240213_01","Paused","10.500","93K","4K","4.3226","0.000","$705.63 / Unlimited","Pre-roll","2","$97.03",""
"","15872","Konpresio - Android - US - 240205_03","Paused","3.500","1.8M","4.9K","0.27","0.000","$6,336.43 / Unlimited","Pre-roll","230","$5,980.00",""
"","15871","Plunge Blaster - Android - US - 240205_02","Paused","4.000","714.4K","1.8K","0.2539","0.000","$3,227.44 / Unlimited","Pre-roll","41","$1,845.00",""
