"Name";"Leads";"Revenue"
"Polyglot Buds - DG - US - 250625_02 - Angle3 (buytranslationearbuds.com)";"0";"0.00 $"
"Polyglot Buds - DG - US - 250625_01 - Angle2 (buytranslationearbuds.com)";"0";"0.00 $"
"VitalBreeze AC - DG - CA - 250624_02 - Angle3.1 (lctc) (getvitalbreeze.com)";"0";"0.00 $"
"Polyglot Buds - DG - US - 250621_02 - Angle1 - QR (buytranslationearbuds.com)";"0";"0.00 $"
"Polyglot Buds - DG - US - 250621_01 - Angle1 (buytranslationearbuds.com)";"0";"0.00 $"
"Breezy Comforts - DG - US - 250620_07 - Angle3.2 - AFF (buybreezycomforts.com)";"0";"0.00 $"
"Polyglot Buds - Fallback - CatchAll (buytranslationearbuds.com)";"0";"0.00 $"
"Barefoot Shoes - DG - US - 250620_06 - Angle4b - QR (experiencegroundedfootwear.com)";"0";"0.00 $"
"BuzzDefense Portable - DG - US - 250619_06 - Angle7 - AFF (buzzdefenseportable.com)";"0";"0.00 $"
"AmpliHear - DG - US - 250619_05 - Angle5 - QR (amplihearhearingaids.com)";"0";"0.00 $"
"AmpliHear - DG - US - 250619_04 - Angle5 (amplihearhearingaids.com)";"0";"0.00 $"
"Radar Shield Pro - DG - US - 250619_03 - Angle1 - QR (shopradarshieldpro.com)";"0";"0.00 $"
"Radar Shield Pro - DG - US - 250619_02 - Angle1 (shopradarshieldpro.com)";"0";"0.00 $"
"AmpliHear - SEA - US - 250619_01 (amplihearhearingaids.com)";"0";"0.00 $"
"Fuel Save Pro - DG - US - 250617_02 - Angle6 - QR (buyfuelsaver.com)";"0";"0.00 $"
"Fuel Save Pro - DG - US - 250617_01 - Angle6 (buyfuelsaver.com)";"0";"0.00 $"
"LuxBlaze - SEA - US - 250616_02 (buyluxblaze.com)";"0";"0.00 $"
"VitalBreeze AC - DG - US - 250615_04 - Angle3.1 (lctc) - QR (getvitalbreeze.com)";"0";"0.00 $"
"Radar Shield Pro - DG - US - 250615_02 - Angle1 (lctc) - QR (shopradarshieldpro.com)";"0";"0.00 $"
"Radar Shield Pro - DG - US - 250615_01 - Angle1 (lctc) (shopradarshieldpro.com)";"0";"0.00 $"
"AmpliHear - DG - US - 250614_02 - Angle4 - QR (amplihearhearingaids.com)";"0";"0.00 $"
"AmpliHear - DG - US - 250614_01 - Angle4 (amplihearhearingaids.com)";"0";"0.00 $"
"HydroNozzle - DG - US - 250613_03 - Angle1 (LCTC 45+ all channels) (hydronozzle.com)";"0";"0.00 $"
"HydroNozzle - DG - US - 250613_02 - Angle1 (LCTC 25+ all channels) (hydronozzle.com)";"0";"0.00 $"
"LuxBlaze - DG - US - 250612_04 - Angle5 - QR (buyluxblaze.com)";"0";"0.00 $"
"LuxBlaze - DG - US - 250612_03 - Angle5 (buyluxblaze.com)";"0";"0.00 $"
"HydroNozzle - DG - US - 250612_02 - Angle1 (LCTC) - QR (hydronozzle.com)";"0";"0.00 $"
"HydroNozzle - DG - US - 250612_01 - Angle1 (LCTC) (hydronozzle.com)";"0";"0.00 $"
"AmpliHear - DG - US - 250611_06 - Angle3 - QR (amplihearhearingaids.com)";"0";"0.00 $"
"AmpliHear - DG - US - 250611_05 - Angle3 (amplihearhearingaids.com)";"0";"0.00 $"
"LuxBlaze - DG - US - 250611_02 - Angle3b - QR (buyluxblaze.com)";"0";"0.00 $"
"LuxBlaze - DG - US - 250611_01 - Angle3b (buyluxblaze.com)";"0";"0.00 $"
"LuxBlaze - Fallback - CatchAll (buyluxblaze.com)";"0";"0.00 $"
"BuzzDefense Portable - DG - US - 250609_06 - Angle8.1 - QR (buzzdefenseportable.com)";"0";"0.00 $"
"BuzzDefense Portable - DG - US - 250609_05 - Angle8.1 (buzzdefenseportable.com)";"0";"0.00 $"
"Radar Shield Pro - DG - US - 250609_04 - Angle1 (lctc) - QR (shopradarshieldpro.com)";"0";"0.00 $"
"Radar Shield Pro - DG - US - 250609_03 - Angle1 (lctc) (shopradarshieldpro.com)";"0";"0.00 $"
"VitalBreeze AC - DG - US - 250609_02 - Angle3.1 (lctc) - QR (getvitalbreeze.com)";"0";"0.00 $"
"VitalBreeze AC - DG - US - 250609_01 - Angle3.1 (lctc) (getvitalbreeze.com)";"0";"0.00 $"
"AmpliHear - DG - US - 250607_04 - Angle2 - QR (amplihearhearingaids.com)";"0";"0.00 $"
"AmpliHear - DG - US - 250607_03 - Angle2 (amplihearhearingaids.com)";"0";"0.00 $"
"BreezeBox - DG - US - 250607_02 - Angle3.3 - QR (buybreezebox.com)";"0";"0.00 $"
"BreezeBox - DG - US - 250607_01 - Angle3.3 (buybreezebox.com)";"0";"0.00 $"
"BuzzDefense Portable - DG - US - 250604_02 - Angle8 - QR (buzzdefenseportable.com)";"0";"0.00 $"
"BuzzDefense Portable - DG - US - 250604_01 - Angle8 (buzzdefenseportable.com)";"0";"0.00 $"
"Breezy Comforts - DG - US - 250603_05 - Angle3.2 - QR (buybreezycomforts.com)";"0";"0.00 $"
"Breezy Comforts - DG - US - 250603_04 - Angle3.2 (buybreezycomforts.com)";"0";"0.00 $"
"VitalBreeze AC - SEA - US - 250602_02 (getvitalbreeze.com)";"0";"0.00 $"
"BreezeBox - SEA - US - 250602_01 (buybreezebox.com)";"0";"0.00 $"
"Power Saver Pro - DG - US - 250530_10 - Angle4 - QR (buypowersaverpro.com)";"0";"0.00 $"
"Power Saver Pro - DG - US - 250530_09 - Angle4 (buypowersaverpro.com)";"0";"0.00 $"
"BreezeBox - DG - US - 250530_08 - Angle3.2 - QR (buybreezebox.com)";"0";"0.00 $"
"BreezeBox - DG - US - 250530_07 - Angle3.2 (buybreezebox.com)";"0";"0.00 $"
"Wood Ranger Shears - DG - US - 250530_02 - Angle5 - QR (woodrangershears.com)";"0";"0.00 $"
"Wood Ranger Shears - DG - US - 250530_01 - Angle5 (woodrangershears.com)";"0";"0.00 $"
"Protective Card - DG - US - 250530_06 - Angle2 - QR (protectivecard.com)";"0";"0.00 $"
"Protective Card - DG - US - 250530_05 - Angle1 - QR (protectivecard.com)";"0";"0.00 $"
"Protective Card - DG - US - 250530_04 - Angle2 (protectivecard.com)";"0";"0.00 $"
"Protective Card - DG - US - 250530_03 - Angle1 (protectivecard.com)";"0";"0.00 $"
"Protective Card - Fallback - CatchAll (protectivecard.com)";"0";"0.00 $"
"Wood Ranger Power Shears - DG - US - 250530_02 - Angle5 - QR (buypowershears.com)";"0";"0.00 $"
